municipio_id,stat_date,type_establecimiento,count,seats
237,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,10
238,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,12
238,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,18
239,"Sat, 01 Jan 2011 00:00:00",Hotel,1,26
239,"Sat, 01 Jan 2011 00:00:00",TurismoRural,7,63
239,"Sat, 01 Jan 2011 00:00:00",Apartamento,2,42
240,"Sat, 01 Jan 2011 00:00:00",Hotel,1,12
240,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,6
241,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,7
243,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,7
244,"Sat, 01 Jan 2011 00:00:00",Hotel,1,7
244,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,20
245,"Sat, 01 Jan 2011 00:00:00",Hotel,1,24
245,"Sat, 01 Jan 2011 00:00:00",TurismoRural,3,19
246,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,6
247,"Sat, 01 Jan 2011 00:00:00",Hotel,1,39
248,"Sat, 01 Jan 2011 00:00:00",Hotel,1,18
248,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,9
252,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,10
253,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,18
254,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,13
256,"Sat, 01 Jan 2011 00:00:00",Hotel,4,165
256,"Sat, 01 Jan 2011 00:00:00",TurismoRural,3,17
256,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,8
257,"Sat, 01 Jan 2011 00:00:00",Hotel,9,266
257,"Sat, 01 Jan 2011 00:00:00",Camping,1,348
257,"Sat, 01 Jan 2011 00:00:00",TurismoRural,9,68
258,"Sat, 01 Jan 2011 00:00:00",Hotel,2,28
258,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,16
260,"Sat, 01 Jan 2011 00:00:00",Hotel,1,7
260,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,10
261,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,8
262,"Sat, 01 Jan 2011 00:00:00",Hotel,3,50
264,"Sat, 01 Jan 2011 00:00:00",Hotel,1,16
266,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,8
267,"Sat, 01 Jan 2011 00:00:00",Hotel,1,12
267,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,10
268,"Sat, 01 Jan 2011 00:00:00",Hotel,1,32
