municipio_id,stat_date,poblacion
22,"Wed, 31 Dec 1919 23:00:00",549
22,"Tue, 31 Dec 1929 23:00:00",564
22,"Sun, 31 Dec 1939 23:00:00",556
22,"Sun, 01 Jan 1950 00:00:00",486
22,"Fri, 01 Jan 1960 00:00:00",453
22,"Thu, 01 Jan 1970 00:00:00",362
22,"Thu, 01 Jan 1981 00:00:00",308
23,"Mon, 01 Jan 1900 00:00:00",1932
23,"Tue, 01 Jan 1991 00:00:00",1065
23,"Mon, 01 Jan 2001 00:00:00",1050
23,"Thu, 01 Jan 2004 00:00:00",1025
23,"Fri, 31 Dec 1909 23:00:00",1752
23,"Wed, 31 Dec 1919 23:00:00",1780
23,"Tue, 31 Dec 1929 23:00:00",1688
23,"Sun, 31 Dec 1939 23:00:00",1404
23,"Sun, 01 Jan 1950 00:00:00",1501
23,"Fri, 01 Jan 1960 00:00:00",1432
23,"Thu, 01 Jan 1970 00:00:00",1258
23,"Thu, 01 Jan 1981 00:00:00",1127
24,"Mon, 01 Jan 1900 00:00:00",1213
24,"Tue, 01 Jan 1991 00:00:00",1023
24,"Mon, 01 Jan 2001 00:00:00",926
24,"Thu, 01 Jan 2004 00:00:00",877
24,"Fri, 31 Dec 1909 23:00:00",1357
24,"Wed, 31 Dec 1919 23:00:00",1481
24,"Tue, 31 Dec 1929 23:00:00",1271
24,"Sun, 31 Dec 1939 23:00:00",1410
24,"Sun, 01 Jan 1950 00:00:00",1471
24,"Fri, 01 Jan 1960 00:00:00",1432
24,"Thu, 01 Jan 1970 00:00:00",1271
24,"Thu, 01 Jan 1981 00:00:00",1160
25,"Mon, 01 Jan 1900 00:00:00",1003
25,"Tue, 01 Jan 1991 00:00:00",288
25,"Mon, 01 Jan 2001 00:00:00",252
25,"Thu, 01 Jan 2004 00:00:00",295
25,"Fri, 31 Dec 1909 23:00:00",1038
25,"Wed, 31 Dec 1919 23:00:00",1168
25,"Tue, 31 Dec 1929 23:00:00",1195
25,"Sun, 31 Dec 1939 23:00:00",1057
25,"Sun, 01 Jan 1950 00:00:00",1075
25,"Fri, 01 Jan 1960 00:00:00",803
25,"Thu, 01 Jan 1970 00:00:00",523
25,"Thu, 01 Jan 1981 00:00:00",350
26,"Mon, 01 Jan 1900 00:00:00",267
26,"Tue, 01 Jan 1991 00:00:00",116
26,"Mon, 01 Jan 2001 00:00:00",95
26,"Thu, 01 Jan 2004 00:00:00",102
26,"Fri, 31 Dec 1909 23:00:00",230
26,"Wed, 31 Dec 1919 23:00:00",247
26,"Tue, 31 Dec 1929 23:00:00",226
26,"Sun, 31 Dec 1939 23:00:00",228
26,"Sun, 01 Jan 1950 00:00:00",218
26,"Fri, 01 Jan 1960 00:00:00",196
26,"Thu, 01 Jan 1970 00:00:00",172
26,"Thu, 01 Jan 1981 00:00:00",131
27,"Mon, 01 Jan 1900 00:00:00",360
27,"Tue, 01 Jan 1991 00:00:00",109
27,"Mon, 01 Jan 2001 00:00:00",108
27,"Thu, 01 Jan 2004 00:00:00",114
27,"Fri, 31 Dec 1909 23:00:00",383
27,"Wed, 31 Dec 1919 23:00:00",321
27,"Tue, 31 Dec 1929 23:00:00",298
27,"Sun, 31 Dec 1939 23:00:00",271
27,"Sun, 01 Jan 1950 00:00:00",244
27,"Fri, 01 Jan 1960 00:00:00",185
27,"Thu, 01 Jan 1970 00:00:00",170
27,"Thu, 01 Jan 1981 00:00:00",131
28,"Mon, 01 Jan 1900 00:00:00",205
28,"Tue, 01 Jan 1991 00:00:00",123
28,"Mon, 01 Jan 2001 00:00:00",106
28,"Thu, 01 Jan 2004 00:00:00",93
28,"Fri, 31 Dec 1909 23:00:00",214
28,"Wed, 31 Dec 1919 23:00:00",208
28,"Tue, 31 Dec 1929 23:00:00",209
28,"Sun, 31 Dec 1939 23:00:00",241
28,"Sun, 01 Jan 1950 00:00:00",233
28,"Fri, 01 Jan 1960 00:00:00",212
28,"Thu, 01 Jan 1970 00:00:00",180
28,"Thu, 01 Jan 1981 00:00:00",163
29,"Mon, 01 Jan 1900 00:00:00",238
29,"Tue, 01 Jan 1991 00:00:00",439
29,"Mon, 01 Jan 2001 00:00:00",364
29,"Thu, 01 Jan 2004 00:00:00",370
29,"Fri, 31 Dec 1909 23:00:00",219
29,"Wed, 31 Dec 1919 23:00:00",244
29,"Tue, 31 Dec 1929 23:00:00",232
29,"Sun, 31 Dec 1939 23:00:00",249
29,"Sun, 01 Jan 1950 00:00:00",262
29,"Fri, 01 Jan 1960 00:00:00",267
29,"Thu, 01 Jan 1970 00:00:00",184
29,"Thu, 01 Jan 1981 00:00:00",465
30,"Mon, 01 Jan 1900 00:00:00",318
30,"Tue, 01 Jan 1991 00:00:00",140
30,"Mon, 01 Jan 2001 00:00:00",120
30,"Thu, 01 Jan 2004 00:00:00",151
30,"Fri, 31 Dec 1909 23:00:00",318
30,"Wed, 31 Dec 1919 23:00:00",289
30,"Tue, 31 Dec 1929 23:00:00",245
30,"Sun, 31 Dec 1939 23:00:00",254
30,"Sun, 01 Jan 1950 00:00:00",267
30,"Fri, 01 Jan 1960 00:00:00",247
30,"Thu, 01 Jan 1970 00:00:00",226
30,"Thu, 01 Jan 1981 00:00:00",172
31,"Mon, 01 Jan 1900 00:00:00",464
31,"Tue, 01 Jan 1991 00:00:00",123
31,"Mon, 01 Jan 2001 00:00:00",135
31,"Thu, 01 Jan 2004 00:00:00",130
31,"Fri, 31 Dec 1909 23:00:00",432
31,"Wed, 31 Dec 1919 23:00:00",374
31,"Tue, 31 Dec 1929 23:00:00",306
31,"Sun, 31 Dec 1939 23:00:00",306
31,"Sun, 01 Jan 1950 00:00:00",267
31,"Fri, 01 Jan 1960 00:00:00",203
31,"Thu, 01 Jan 1970 00:00:00",157
31,"Thu, 01 Jan 1981 00:00:00",130
32,"Mon, 01 Jan 1900 00:00:00",1103
32,"Tue, 01 Jan 1991 00:00:00",49
32,"Mon, 01 Jan 2001 00:00:00",72
32,"Thu, 01 Jan 2004 00:00:00",65
32,"Fri, 31 Dec 1909 23:00:00",1347
32,"Wed, 31 Dec 1919 23:00:00",1108
32,"Tue, 31 Dec 1929 23:00:00",968
32,"Sun, 31 Dec 1939 23:00:00",909
32,"Sun, 01 Jan 1950 00:00:00",750
32,"Fri, 01 Jan 1960 00:00:00",444
32,"Thu, 01 Jan 1970 00:00:00",114
32,"Thu, 01 Jan 1981 00:00:00",54
33,"Mon, 01 Jan 1900 00:00:00",386
33,"Tue, 01 Jan 1991 00:00:00",348
33,"Mon, 01 Jan 2001 00:00:00",295
